LONGITUD_X,LATITUD_Y,DISTRICTE,TIPUS_CARRER,CARRER
2.172227285,41.38088335,CIUTAT VELLA,CARRER,HOSPITAL
2.174215606,41.40844312,L'EIXAMPLE,AVINGUDA,GAUDI
2.176060643,41.3956364,L'EIXAMPLE,PLAÇA,TETUAN
2.171889963,41.37944639,CIUTAT VELLA,CARRER,JUNTA DE COMERÇ
2.173056644,41.39268474,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.154581424,41.39355709,L'EIXAMPLE,CARRER,ENRIC GRANADOS
2.160461011,41.37544945,L'EIXAMPLE,CARRER,CALABRIA
2.160461011,41.37544945,L'EIXAMPLE,CARRER,CALABRIA
2.143489878,41.39109449,LES CORTS,AVINGUDA,JOSEP TARRADELLAS
2.163369613,41.37666084,L'EIXAMPLE,CARRER,COMTE BORRELL
2.169270627,41.38821806,L'EIXAMPLE,PASSEIG,GRACIA
2.157429153,41.40739517,GRACIA,CARRER,MASSENS
2.157429153,41.40739517,GRACIA,CARRER,MASSENS
2.157429153,41.40739517,GRACIA,CARRER,MASSENS
2.157429153,41.40739517,GRACIA,CARRER,MASSENS
2.153717126,41.38082045,L'EIXAMPLE,CARRER,CALABRIA
2.157429153,41.40739517,GRACIA,CARRER,MASSENS
2.162910139,41.38384194,L'EIXAMPLE,CARRER,MUNTANER
2.162910139,41.38384194,L'EIXAMPLE,CARRER,MUNTANER
2.160871968,41.3717224,SANTS-MONTJUÏC,CARRER,CREU DELS MOLERS
2.144484744,41.38546396,L'EIXAMPLE,CARRER,CORSEGA
2.20348983,41.40366453,SANT MARTI,CARRER,PUJADES
2.163848547,41.40218313,GRACIA,CARRER,BAILEN
2.166284384,41.40651813,GRACIA,TRAVESSERA,GRACIA
2.184212281,41.40729046,SANT MARTI,CARRER,INDEPENDENCIA
2.170562598,41.37274951,SANTS-MONTJUÏC,CARRER,PIQUER
2.158058492,41.38272025,L'EIXAMPLE,CARRER,COMTE D'URGELL
2.13572759,41.42802081,HORTA-GUINARDÓ,CARRER,BALDOMER GIRONA
2.161439669,41.38226052,L'EIXAMPLE,CARRER,SEPULVEDA
2.162879641,41.38165334,L'EIXAMPLE,CARRER,FLORIDABLANCA
2.162910139,41.38384194,L'EIXAMPLE,CARRER,MUNTANER
2.162993062,41.40629835,GRACIA,CARRER,PI I MARGALL
2.172759752,41.40164548,L'EIXAMPLE,CARRER,MALLORCA
2.162910139,41.38384194,L'EIXAMPLE,CARRER,MUNTANER
2.160343638,41.39353699,L'EIXAMPLE,RAMBLA,CATALUNYA
2.160343638,41.39353699,L'EIXAMPLE,RAMBLA,CATALUNYA
2.162910139,41.38384194,L'EIXAMPLE,CARRER,MUNTANER
2.204944018,41.40522915,SANT MARTI,CARRER,ESPRONCEDA
2.204944018,41.40522915,SANT MARTI,CARRER,ESPRONCEDA
2.156987051,41.37551357,L'EIXAMPLE,CARRER,TAMARIT
2.147850668,41.38525357,L'EIXAMPLE,CARRER,CALABRIA
2.154784627,41.37593807,L'EIXAMPLE,AVINGUDA,MISTRAL
2.154784627,41.37593807,L'EIXAMPLE,AVINGUDA,MISTRAL
2.146021258,41.37530317,SANTS-MONTJUÏC,CARRER,CREU COBERTA
2.202249447,41.40528359,SANT MARTI,CARRER,LOPE DE VEGA
2.135060929,41.37187687,SANTS-MONTJUÏC,CARRER,SAGUNT
2.152236782,41.38791921,L'EIXAMPLE,CARRER,PROVENÇA
2.152236782,41.38791921,L'EIXAMPLE,CARRER,PROVENÇA
2.154784627,41.37593807,L'EIXAMPLE,AVINGUDA,MISTRAL
