Column,host_id,host_name_x,num_host_listings,id,license,host_url,listing_url,host_about,host_name_y,latitude,longitude,minimum_nights,availability_365,last_review,neighbourhood,N_EXPEDIENT,CODI_DISTRICTE,neighbourhood_group,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
0,4459553.0,AB Apartment Barcelona,165,3232397.0,HUTB-007998,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/3232397,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.39445,2.15518,2.0,340.0,2022-08-21,Eixample,02-2013-2356,2,L'EIXAMPLE,8.0,l'Antiga Esquerra de l'Eixample,Carrer,CORSEGA,2,252,,,,,,,EN,,8.0,2.1544400969999997,41.3916751
1,4459553.0,AB Apartment Barcelona,165,53376322.0,HUTB-011751,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/53376322,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40181,2.18035,2.0,321.0,2022-09-01,Eixample,02-2014-1409,2,L'EIXAMPLE,5.0,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,PR,4,9.0,2.17815442,41.39919629
2,4459553.0,AB Apartment Barcelona,165,52359578.0,HUTB-011749,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/52359578,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.400040000000004,2.1800200000000003,3.0,354.0,2022-09-25,Eixample,02-2014-1417,2,L'EIXAMPLE,5.0,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,8,3,8.0,2.17815442,41.39919629
3,4459553.0,AB Apartment Barcelona,165,50141566.0,HUTB-006953,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/50141566,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.397909999999996,2.17738,2.0,346.0,2022-10-01,Eixample,02-2013-1268,2,L'EIXAMPLE,7.0,la Dreta de l'Eixample,Passatge,BOCABELLA,2,12,,,,,,,1,3,4.0,2.175595023,41.39499151
4,4459553.0,AB Apartment Barcelona,165,51441166.0,HUTB-008637,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/51441166,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.402359999999994,2.17867,3.0,316.0,2022-10-04,Eixample,02-2014-0386,2,L'EIXAMPLE,5.0,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,PR,3,10.0,2.17815442,41.39919629
5,4459553.0,AB Apartment Barcelona,165,14751508.0,HUTB-012080,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/14751508,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40638,2.2027200000000002,2.0,359.0,2022-10-07,Sant Martí,10-2014-0673,10,SANT MARTI,68.0,el Poblenou,Carrer,PALLARS,1,307,,311.0,,,,,2,D,4.0,2.2022379340000002,41.4036573
6,4459553.0,AB Apartment Barcelona,165,21754331.0,HUTB-009260,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/21754331,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40181,2.1782,2.0,347.0,2022-10-10,Eixample,02-2014-0499,2,L'EIXAMPLE,6.0,la Sagrada Família,Carrer,MARINA,2,240,,,,,,,1,5,4.0,2.17605046,41.40071417
7,4459553.0,AB Apartment Barcelona,165,17628666.0,HUTB-002915,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/17628666,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.3737,2.16833,2.0,352.0,2022-10-10,Sants-Montjuïc,03-2012-0091,3,SANTS-MONTJUÏC,15.0,Hostafrancs,Carrer,CALLAO,2,20,,,,,,,2,1,5.0,2.141682506,41.37466846
8,4459553.0,AB Apartment Barcelona,165,40573467.0,HUTB-002330,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/40573467,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40821,2.15395,3.0,327.0,2022-10-13,Gràcia,06-2012-0281,6,GRACIA,31.0,la Vila de Gràcia,Carrer,SANT SALVADOR,2,20,,,,,,,BJ,3,12.0,2.152357339,41.40509017
9,4459553.0,AB Apartment Barcelona,165,46390948.0,HUTB-006663,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/46390948,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40739,2.17129,2.0,32.0,2022-10-17,Eixample,02-2013-1163,2,L'EIXAMPLE,6.0,la Sagrada Família,Carrer,CORSEGA,1,559,,,,,,,2,2,6.0,2.171503593,41.40482831
