tipo,latitudes,longitudes
SALIDA CALZADA,41.649027473051156,-0.8818527060979306
COLISIÓN ALCANCE,41.661585829868585,-0.8645810716721081
COLISIÓN ALCANCE,41.666992622958105,-0.887776415002892
COLIS FRONTOLATERAL,41.62957498750602,-0.8825260453930127
SALIDA CALZADA,41.6562121210704,-0.908314757720389
OTRAS,41.65949772773082,-0.8691088511672924
ATROPELLO,41.633353667694024,-0.8880337913721866
CAIDA SOBRE CALZADA,41.6390382112928,-0.8708838775078237
COLIS. MARCHA ATRÁS,41.64083344974765,-0.8970649943808023
COLISIÓN LATERAL,41.64904657717317,-0.8718525605769747
OTRAS,41.64322365075108,-0.8964627561577849
COLISIÓN ALCANCE,41.68753087470739,-0.8778095796207178
SALIDA CALZADA,41.661646612715046,-0.8812157329722801
COLISIÓN ALCANCE,41.6454384961757,-0.8762000299022707
ATROPELLO,41.65543768899759,-0.9089013552408617
COLISIÓN ALCANCE,41.65180346604993,-0.9004729973337304
COLISIÓN ALCANCE,41.65233828238132,-0.8917562993466011
COLISIÓN ALCANCE,41.65040494617356,-0.888856043735591
COLISIÓN ALCANCE,41.645335650478316,-0.8629911318784169
COLISIÓN ALCANCE,41.609992514227066,-0.8870207060655807
COLISIÓN LATERAL,41.63379905763323,-0.8636325074780108
CAIDA SOBRE CALZADA,41.63275556609146,-0.8760724207544668
COLISIÓN ALCANCE,41.63808926467497,-0.9036852209830768
COLIS. MARCHA ATRÁS,41.677487884305975,-0.8896980442453839
SALIDA CALZADA,41.620591734015946,-0.9018264648858587
COLIS FRONTOLATERAL,41.64931371437485,-0.9187726932212442
COLISIÓN LATERAL,41.646890443474554,-0.8855988456901538
COLISIÓN LATERAL,41.62404668544956,-0.887523212911549
COLISIÓN LATERAL,41.63964884250951,-0.8863120908790753
COLISIÓN LATERAL,41.638477534601776,-0.8689640327130923
CAIDA SOBRE CALZADA,41.64332496247496,-0.8900650666830714
COLISIÓN LATERAL,41.65260977469196,-0.8918524618079099
OTRAS,41.65248328671194,-0.9104038365599549
COLISIÓN LATERAL,41.6474034449745,-0.8850103896969528
COLIS. MARCHA ATRÁS,41.64926981833846,-0.8734135018983006
COLISIÓN ALCANCE,41.650740541708075,-0.8593239531218387
COLIS FRONTOLATERAL,41.638807389014836,-0.868891092151338
ATROPELLO,41.66374540604866,-0.9008107424460443
COLIS. MARCHA ATRÁS,41.64886535549928,-0.9211220937948997
COLIS. MARCHA ATRÁS,41.63265453864093,-0.9026681648170423
COLIS FRONTOLATERAL,41.67281318904247,-0.8893162332922886
ATROPELLO,41.66895757951277,-0.8890866503471749
SALIDA CALZADA,41.71496486522088,-0.8439506345833918
SALIDA CALZADA,41.67007665525934,-0.8665477541801948
COLISIÓN ALCANCE,41.63484525009101,-0.8848493117953854
COLISIÓN LATERAL,41.64060309287472,-0.9147014503640727
COLISIÓN ALCANCE,41.66210291413718,-0.9388159722509236
SALIDA CALZADA,41.63348367532985,-0.9157439755527074
SALIDA CALZADA,41.67593597602368,-0.8869959298557372
SALIDA CALZADA,41.672106692157605,-0.876909940066992
CAIDA SOBRE CALZADA,41.670796057267296,-0.8816447317118501
COLISIÓN LATERAL,41.634304213138115,-0.9072940747876611
ATROPELLO,41.65154680743475,-0.9297774953117621
COLIS FRONTOLATERAL,41.62152191885522,-0.9260243926745974
CAIDA SOBRE CALZADA,41.64737203882021,-0.8747826613487039
COLISIÓN ALCANCE,41.64583899054114,-0.8808426934572774
COLIS FRONTOLATERAL,41.63444197353212,-0.9244213411763852
COLISIÓN LATERAL,41.647668760113724,-0.8837000032645412
COLISIÓN ALCANCE,41.64713372980882,-0.8949697510455706
COLISIÓN LATERAL,41.66759236644088,-0.8586802458354249
ATROPELLO,41.633156268397784,-0.8824516125202209
ATROPELLO,41.65815100896193,-0.8857803278979575
COLIS. MARCHA ATRÁS,41.606852016162875,-0.8901425582260953
COLISIÓN ALCANCE,41.665547003703814,-0.8853994844903159
CAIDA SOBRE CALZADA,41.681817186609294,-0.8988224291930889
COLISIÓN ALCANCE,41.653142424569985,-0.878399626737674
COLISIÓN ALCANCE,41.65471375662296,-0.9005718898973313
COLIS. MARCHA ATRÁS,41.653113831884326,-0.8754417396680656
CAIDA SOBRE CALZADA,41.637370118574715,-0.8981774282134238
CAIDA SOBRE CALZADA,41.62307965046806,-0.9134005222660053
SALIDA CALZADA,41.703559179288035,-0.9675955686913701
COLISIÓN LATERAL,41.63800946128376,-0.8994494084124403
COLISIÓN ALCANCE,41.65509967011824,-0.9047634312813823
CAIDA SOBRE CALZADA,41.640231801283996,-0.8796660379583326
COLIS. MARCHA ATRÁS,41.66399317788149,-0.8569442253224475
COLISIÓN ALCANCE,41.640202296609836,-0.8866382760165721
COLISIÓN LATERAL,41.64045052143847,-0.9148179357831321
COLIS. MARCHA ATRÁS,41.650342929846744,-0.91679280832361
COLISIÓN ALCANCE,41.6515948922118,-0.9831600853628304
COLIS. MARCHA ATRÁS,41.639588711692504,-0.8805502979311851
COLIS. MARCHA ATRÁS,41.64547114097832,-0.8834784288071386
COLIS. MARCHA ATRÁS,41.60941879505107,-0.8907819329164345
COLIS. MARCHA ATRÁS,41.63594510671276,-0.9129045578911849
SALIDA CALZADA,41.65806605032787,-0.929341406599246
COLIS. MARCHA ATRÁS,41.65124740456308,-0.9015144446496385
OTRAS,41.64919114164,-0.8971281972974198
CAIDA SOBRE CALZADA,41.68415187120862,-0.8655422071013779
CAIDA SOBRE CALZADA,41.64775005399505,-0.9345679624034625
COLISIÓN ALCANCE,41.647640923398896,-0.9162444486972013
COLISIÓN LATERAL,41.64628513907135,-0.9075234410781284
COLISIÓN LATERAL,41.646572275866276,-0.8740118451885867
COLISIÓN LATERAL,41.64976600318248,-0.8879390016835017
COLISIÓN ALCANCE,41.653508476745046,-0.8748263473540919
COLISIÓN LATERAL,41.647798885967035,-0.893364249304231
ATROPELLO,41.64963422246641,-0.8793428209752854
OTRAS,41.63977012001253,-0.8990662796872798
COLISIÓN ALCANCE,41.670910841846876,-0.9072756956226459
SALIDA CALZADA,41.62757051008441,-0.9226018969034585
COLIS FRONTOLATERAL,41.65507219335992,-0.8735234620830842
SALIDA CALZADA,41.65022964156985,-0.8869504077778204
