N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y,
01-2013-0753,1,CIUTAT VELLA,1,el Raval,Carrer,HOSPITAL,1,25,,,,,,,1,2,HUTB-000715,9,2.171125169,41.37903472,
02-2014-0566,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,1,51,,53,,,,,EN,1,HUTB-010412,7,2.173113256,41.40659454,
02-2014-0207,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Plaça,TETUAN,1,33,,,,,,,SA,2,HUTB-008754,4,2.174958331,41.39378781,
01-2014-0073,1,CIUTAT VELLA,1,el Raval,Carrer,JUNTA DE COMERÇ,1,23,,,,,,,2,1A,HUTB-013228,4,2.170787869,41.37759776,
02-2014-1125,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,682,,,,,,,2,1,HUTB-011029,8,2.171954431,41.39083613,
02-2014-0241,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ENRIC GRANADOS,1,125,,,,,,,2,1,HUTB-008826,5,2.153479697,41.39170841,
02-2014-0227,2,L'EIXAMPLE,10,Sant Antoni,Carrer,CALABRIA,1,5,,,,,,,1,,HUTB-008655,5,2.159359248,41.37360076,
02-2014-0228,2,L'EIXAMPLE,10,Sant Antoni,Carrer,CALABRIA,1,5,,,,,,,AT,,HUTB-008656,2,2.159359248,41.37360076,
02-2013-0972,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE BORRELL,1,37,,,,,,,EN,4,HUTB-006257,7,2.162267759,41.37481218,
02-2013-0975,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,1,3,,,,,,,5,2,HUTB-006316,5,2.168168546,41.38636943,
06-2013-0312,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,BJ,,HUTB-006302,8,2.156327261,41.40554654,
06-2013-0313,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,1,1,HUTB-006304,4,2.156327261,41.40554654,
06-2013-0315,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,2,1,HUTB-006303,4,2.156327261,41.40554654,
06-2013-0316,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,2,2,HUTB-006306,4,2.156327261,41.40554654,
02-2013-0998,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,2,120,,,,,,,4,2,HUTB-006490,7,2.152615513,41.37897176,
06-2013-0314,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,1,2,HUTB-006305,4,2.156327261,41.40554654,
02-2013-1086,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,3,1,HUTB-006569,4,2.161808251,41.38199327,
02-2013-1087,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,3,2A,HUTB-006570,4,2.161808251,41.38199327,
03-2013-0335,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,CREU DELS MOLERS,2,76,,,,,,,3,,HUTB-006298,5,2.159770217,41.36987372,
02-2013-1043,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CORSEGA,1,77,,,,,,,5,4,HUTB-006635,5,2.143383342,41.38361524,
10-2013-0384,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,2,238,,,,,,,BJ,I2,HUTB-006258,5,2.202386726,41.40181605,
06-2013-0323,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,BAILEN,2,212,,,,,,B,EN,4,HUTB-006392,7,2.162746522,41.40033451,
06-2013-0324,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Travessera,GRACIA,2,274,,,,,,A,1,1,HUTB-006393,3,2.165182267,41.40466952,
10-2013-0418,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,2,258,,,,,,,1,2,HUTB-006347,4,2.183109678,41.40544192,
03-2013-0324,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,PIQUER,1,15,,,,,,,3,1,HUTB-006269,3,2.16946058,41.37090087,
02-2013-0987,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,COMTE D'URGELL,2,74,,,,,,,2,1,HUTB-006266,3,2.156956749,41.38087157,
02-2013-0994,2,L'EIXAMPLE,10,Sant Antoni,Carrer,SEPULVEDA,2,156,,160,,,,,6,2,HUTB-006487,7,2.160337838,41.38041185,
02-2013-1055,2,L'EIXAMPLE,10,Sant Antoni,Carrer,FLORIDABLANCA,2,148,,,,,,,2,2,HUTB-006465,5,2.161777767,41.37980468,
02-2013-1082,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,PR,1,HUTB-006566,8,2.161808251,41.38199327,
06-2013-0332,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,PI I MARGALL,1,7,,,,,,,3,2,HUTB-006518,3,2.161891031,41.40444973,
02-2013-1075,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MALLORCA,1,371,,,,,,,5,2,HUTB-006517,4,2.171657483,41.39979689,
02-2013-1083,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,PR,2,HUTB-006567,4,2.161808251,41.38199327,
02-2013-1058,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,100,,,,,,,5,1,HUTB-006468,4,2.15924176,41.39168833,
02-2013-1060,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,100,,,,,,,3,3,HUTB-006469,4,2.15924176,41.39168833,
02-2013-1084,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,2,2,HUTB-002407,4,2.161808251,41.38199327,
10-2013-0427,10,SANT MARTI,68,el Poblenou,Carrer,ESPRONCEDA,2,88,,,,,,,1,1,HUTB-006396,2,2.203840859,41.40338068,
10-2013-0428,10,SANT MARTI,68,el Poblenou,Carrer,ESPRONCEDA,2,88,,,,,,,2,1,HUTB-006397,3,2.203840859,41.40338068,
02-2013-1033,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,2,90,,,,,,,4,,HUTB-006618,10,2.155885373,41.37366488,
02-2013-0989,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,2,222,,,,,,,4,1,HUTB-006270,3,2.146749185,41.38340486,
02-2013-1026,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,5,2,HUTB-006578,5,2.153683016,41.37408937,
02-2013-1027,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,6,1,HUTB-006577,4,2.153683016,41.37408937,
03-2013-0338,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,1,1,HUTB-006311,4,2.144919883,41.37345444,
10-2013-0429,10,SANT MARTI,68,el Poblenou,Carrer,LOPE DE VEGA,1,115,,,,,,,PR,4,HUTB-006402,4,2.201146364,41.40343511,
03-2013-0351,3,SANTS-MONTJUÏC,18,Sants,Carrer,SAGUNT,1,71,,,,,,,BJ,,HUTB-006398,4,2.133959873,41.37002809,
02-2013-1009,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,1,131,,133,,,,,PR,2,HUTB-006300,9,2.151135154,41.38607052,
02-2013-1010,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,1,131,,133,,,,,3,4,HUTB-006301,7,2.151135154,41.38607052,
02-2013-1028,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,6,2,HUTB-006576,5,2.153683016,41.37408937,
02-2013-1021,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,3,1,HUTB-006333,4,2.153683016,41.37408937,
02-2013-1022,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,3,2,HUTB-006581,5,2.153683016,41.37408937,
02-2013-1029,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,7,2,HUTB-006575,5,2.153683016,41.37408937,
03-2013-0341,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,4,2,HUTB-006381,4,2.144919883,41.37345444,
03-2013-0342,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,4,1,HUTB-006382,4,2.144919883,41.37345444,
02-2013-1023,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,4,1,HUTB-006580,5,2.153683016,41.37408937,
07-2013-0148,7,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,2,316,,322,,,B,,AT,1,HUTB-006377,6,2.167509601,41.40612516,
03-2013-0343,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,3,2,HUTB-006383,4,2.144919883,41.37345444,
02-2013-1011,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,SARDENYA,2,338,,,,,,,2,2,HUTB-006312,5,2.171294759,41.40238729,
03-2013-0344,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,2,2,HUTB-006384,4,2.144919883,41.37345444,
03-2013-0345,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,2,1,HUTB-006385,4,2.144919883,41.37345444,
03-2013-0346,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,1,2,HUTB-006386,4,2.144919883,41.37345444,
02-2013-0982,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ENTENÇA,1,163,,,,,,,5,1,HUTB-003155,11,2.143235219,41.38236886,
02-2013-0983,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ENTENÇA,1,163,,,,,,,4,1,HUTB-003156,11,2.143235219,41.38236886,
02-2013-0969,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,1,667,,,,,,,3,2,HUTB-006291,14,2.172887248,41.39220146,
02-2013-1024,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,4,2,HUTB-006579,5,2.153683016,41.37408937,
02-2013-1025,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,5,1,HUTB-006374,4,2.153683016,41.37408937,
03-2013-0347,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,PR,2,HUTB-006370,4,2.144919883,41.37345444,
02-2013-1016,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ROSSELLO,2,284,,,,,,,2,2,HUTB-006495,8,2.164462523,41.39753584,
02-2013-1019,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,2,1,HUTB-006574,4,2.153683016,41.37408937,
02-2013-1020,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,2,2,HUTB-006582,4,2.153683016,41.37408937,
02-2013-0990,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,VALENCIA,2,492,,,,,,,AT,1,HUTB-006560,4,2.178124341,41.40265647,
02-2013-1013,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,1,2,HUTB-006494,5,2.153683016,41.37408937,
03-2013-0316,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,POETA CABANYES,2,86,,,,,,,PR,1,HUTB-006261,6,2.163027671,41.3695646,
02-2013-1015,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passatge,CONCEPCIO,2,2,,,,,,,2,2,HUTB-006323,4,2.159472399,41.39314236,
01-2013-0447,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,1,97,,,,,,,2,3,HUTB-002975,7,2.165733516,41.37818292,
10-2013-0409,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,2,3,HUTB-006369,4,2.179151071,41.41213416,
10-2013-0410,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,3,2,HUTB-006387,5,2.179151071,41.41213416,
01-2013-0423,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,1,HUTB-002970,4,2.169945817,41.38088211,
01-2013-0424,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,2,HUTB-002971,4,2.169945817,41.38088211,
01-2013-0425,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,3,HUTB-002972,5,2.169945817,41.38088211,
02-2013-1041,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,BRUC,1,65,,,,,,,AT,2,HUTB-006583,7,2.168990426,41.39190714,
10-2013-0417,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,2,286,,,,,,,2,1,HUTB-006390,4,2.204886679,41.40372052,
10-2013-0411,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,3,4,HUTB-006371,6,2.179151071,41.41213416,
06-2013-0320,6,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,1,187,,,,,,,2,4,HUTB-006325,4,2.158237765,41.40048459,
10-2013-0412,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,3,5,HUTB-006372,6,2.179151071,41.41213416,
02-2013-1035,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,2,104,,,,,,,1,2P,HUTB-006634,5,2.153645469,41.37819784,
02-2013-1042,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MALLORCA,2,496,,,,,,,AT,1,HUTB-006349,7,2.179177834,41.40514984,
02-2013-1045,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,1,199,,,,,,,1,4,HUTB-006585,4,2.147455758,41.38259356,
10-2013-0424,10,SANT MARTI,68,el Poblenou,Carrer,DOCTOR TRUETA,1,173,,,,,,B,3,4,HUTB-006395,8,2.199409274,41.39501368,
03-2013-0329,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,OLIVERA,1,29,,,,,,D,3,,HUTB-006271,4,2.156355457,41.37175171,
01-2013-0426,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,4,HUTB-002973,4,2.169945817,41.38088211,
01-2013-0433,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,2,2,HUTB-002963,4,2.169945817,41.38088211,
01-2013-0427,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,1,HUTB-002958,4,2.169945817,41.38088211,
01-2013-0428,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,2,HUTB-002959,4,2.169945817,41.38088211,
01-2013-0429,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,3,HUTB-002960,5,2.169945817,41.38088211,
01-2013-0431,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,4,HUTB-002961,4,2.169945817,41.38088211,
01-2013-0432,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,2,1,HUTB-002962,4,2.169945817,41.38088211,
10-2014-0091,10,SANT MARTI,68,el Poblenou,Carrer,LLULL,1,223,,,,,,,3,3,HUTB-008623,6,2.203170876,41.40089757,
02-2013-0996,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,SICILIA,1,211,,,,,,,2,,HUTB-006488,7,2.17265167,41.3993843,
06-2014-0616,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT DOMENEC,1,9,,,,,,,2,1,HUTB-012478,5,2.155398096,41.39802638,
06-2014-0617,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT DOMENEC,1,9,,,,,,,2,2,HUTB-012479,6,2.155398096,41.39802638,
02-2014-0203,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,1,97,,,,,,,4,3,HUTB-008612,6,2.168088163,41.39429517,
02-2014-0204,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,1,97,,,,,,,2,2,HUTB-008613,6,2.168088163,41.39429517,
05-2013-0319,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,15,,,,,,,2,1,HUTB-006265,11,2.143137046,41.39214199,
01-2013-0411,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,SERRA,2,8,,,,,,,2,,HUTB-013143,7,2.177013178,41.37815307,
06-2013-0306,6,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,43,,,,,,,2,1,HUTB-006267,3,2.161168738,41.3986607,
10-2013-0391,10,SANT MARTI,67,la Vila Olímpica del Poblenou,Carrer,ROSA SENSAT,1,31,,,,,,,3,3,HUTB-006297,5,2.193164831,41.39060747,
03-2013-0320,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,113,,,,,,,1,1,HUTB-006262,8,2.161149442,41.3729531,
