id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,129,1,33,2022-10-07,0.28,20,264,11,HUTB-002062
23197,"Forum CCIB DeLuxe, Spacious, Elegant ,Christmas",90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41243,2.21975,Entire home/apt,195,4,65,2022-10-23,0.45,2,255,12,HUTB005057
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,73,2,83,2022-12-09,0.60,3,276,20,HUTB-001722
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,174,5,190,2022-11-19,1.28,1,139,30,HUTB-001506
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,36,31,104,2022-10-05,0.76,1,259,19,
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,60,2,254,2022-11-29,1.82,6,267,55,HUTB-001282
41952,Modern Apartment - Sagrada Familia,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,121,3,61,2022-10-31,0.47,4,321,22,HUTB-003549
46153,CHIC SANT PERE★NO SHARING ★GREAT LOCATION ★,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38956,2.17759,Entire home/apt,38,63,5,2022-07-31,0.03,2,276,2,Exempt
359841,"BacRou, design loft near the sea",1820272,Rosa,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40502,2.20802,Entire home/apt,74,2,391,2022-12-04,3.06,5,263,57,HUTB-003912
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,73,2,67,2022-12-07,0.49,3,285,24,HUTB-001723
363601,stylish flat in barcelona center,1837053,Ayal,Ciutat Vella,el Raval,41.37961,2.17306,Entire home/apt,60,32,26,2018-08-23,0.21,1,144,0,
364030,Beatiful Terrace in Bcn center  HUTB-OO1094,1839136,Mires,Eixample,Sant Antoni,41.37555,2.16254,Entire home/apt,103,2,336,2022-11-20,2.57,1,319,38,HUTB-001094
124342,BORN CENTRICO / MUSEO PICASSO / 10 min to BEACH,548084,Maria,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38248062133789,2.181149959564209,Private room,60,3,79,2022-10-28,0.56,1,317,10,HUTB-123456
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3897,2.16396,Entire home/apt,115,2,64,2022-11-22,0.56,4,154,9,HUTB-005863
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.3806,2.17796,Private room,200,31,93,2021-08-10,0.66,2,303,0,
128463,Private Suite in residential area!!,635253,Sebastian,Sants-Montjuïc,Sants,41.37155,2.13664,Private room,60,3,347,2022-12-04,2.53,1,294,45,HUTB-012603
130227,Spacious Room with Pool and Terrace,641496,Dolors,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40779,2.21146,Private room,80,31,130,2022-09-25,1.24,1,204,23,Exempt
365911,"Low-priced,Super Reviewed Apartment",1260560,Ralph,Eixample,la Nova Esquerra de l'Eixample,41.37911,2.15356,Entire home/apt,80,1,114,2022-11-19,0.90,4,234,20,HUTB-004112
370665,"vig1 RIGHT IN EL BORN, OLD TOWN, HAPPY APARTMENT!!",1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38545,2.18117,Entire home/apt,180,32,1,2022-06-24,0.17,131,365,1,
377161,Rustic apartment Parc Guell II,1444707,Jesus,Gràcia,el Coll,41.41892,2.14871,Entire home/apt,91,3,503,2022-11-26,3.88,2,134,60,HUTB - 004404
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,250,5,1,2011-06-23,0.01,1,353,0,HUTB-007966
379868,INCREÍBLE VISTA frente Sagrada Familia+BALCÓN PRIV,1906952,Khris,Eixample,la Sagrada Família,41.4055,2.17124,Private room,60,3,332,2022-10-30,2.59,2,31,14,Exempt
383894,Barcelona Center Music Palace,1751133,The Punset Family,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38853,2.17604,Entire home/apt,79,32,46,2015-11-22,0.38,2,358,0,
384063,nap2 HAPPY & QUIET 3 BEDROOM & 2 BATHROOMS FLAT!!,1447144,Acomodis Apartments,Eixample,la Dreta de l'Eixample,41.39639,2.17641,Entire home/apt,103,1,9,2019-08-18,0.07,131,363,0,HUTB-02-2012-0109
384155,Barcelona Center Beach Top Design,1751133,The Punset Family,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38416,2.18257,Entire home/apt,91,32,73,2022-11-13,0.57,2,364,2,
135513,APARTMENT AT RAMBLA POBLE NOU AND BEACH,664196,Teresa,Sant Martí,el Poblenou,41.39787,2.20429,Entire home/apt,90,90,131,2021-09-23,0.96,2,365,0,
136670,"double Room -UPC, ESADE, Barça, Real Club Tennis",610674,Maria,Les Corts,Pedralbes,41.38832,2.12201,Private room,40,32,130,2022-10-31,0.95,3,232,2,
71553,Best deals for penthouse near Sagrada Familia!,366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,98,3,73,2022-10-26,0.51,3,252,11,HUTB-002424
138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,309,2,109,2022-11-07,0.79,19,300,20,HUTB000329
384464,Paseo de Gracia / Plaza Catalunya,674212,Juanmi,Eixample,la Dreta de l'Eixample,41.38992,2.16974,Entire home/apt,132,2,149,2022-11-25,1.15,5,270,41,HUTB-011183
71736,LONG TERM ENTIRE MONTHS MORE THAN 28 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38174,2.16663,Entire home/apt,63,28,11,2016-07-14,0.08,7,164,0,
142121,You clean Barcelona Refuge 2 of 2,620454,Reinhard,Ciutat Vella,el Barri Gòtic,41.38062,2.17465,Entire home/apt,44,31,27,2017-09-20,0.20,3,0,0,
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,123,1,602,2022-12-11,5.95,6,307,136,HUTB-000173
144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38189,2.15857,Private room,40,3,38,2022-09-18,0.27,4,81,2,
385049,MIRADOR 3 Bedroom Apartment Port Vell,3775349,Mafe,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38203,2.18362,Entire home/apt,264,2,254,2022-11-27,1.95,36,234,20,HUTB-000828
72793,LONG TERM  COLORIST APARTMENT MINIMUN 28 NITGHS,368317,Nacharosa,Ciutat Vella,el Raval,41.38104,2.16565,Entire home/apt,62,28,2,2014-08-27,0.02,7,364,0,
72794,LONG TERM FANTASTIC APARTMENT MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38214,2.16568,Entire home/apt,55,28,8,2014-08-23,0.06,7,336,0,
393717,Cosy apartment near Las Ramblas,1968590,Manel,Ciutat Vella,el Raval,41.3795,2.16568,Entire home/apt,94,3,354,2022-11-26,2.77,1,261,36,HUTB-002975
399772,ROCAFORT: nice & bright 3 stops away PZA CATALUÑA,1995385,Ana,Eixample,la Nova Esquerra de l'Eixample,41.38268,2.15044,Entire home/apt,82,2,79,2022-11-27,0.61,3,76,44,HUTB-001948
147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,Horta-Guinardó,el Guinardó,41.42337,2.1749,Private room,18,31,126,2022-08-28,1.37,1,190,19,Exempt
154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,Eixample,l'Antiga Esquerra de l'Eixample,41.39202,2.15101,Private room,32,31,94,2022-11-14,0.68,1,11,9,Exempt
162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4064,2.17449,Entire home/apt,149,2,57,2022-11-06,0.44,19,214,10,HUTB000326
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,154,2,166,2022-08-21,1.18,3,265,2,HUTB-001723
73693,Huge family apt with patio: Central (HUTB-005825),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37315,2.1665,Entire home/apt,85,2,72,2022-11-11,0.69,4,279,21,hutb-005825
408599,3 habitaciones y balcón con encanto,2034854,Roger,Sants-Montjuïc,el Poble Sec,41.37374,2.15852,Entire home/apt,70,1,450,2022-11-25,3.47,1,320,78,HUTB-006818
73700,Centrally located budget apartment (HUTB-005832),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37325,2.16049,Entire home/apt,70,2,117,2022-10-29,0.93,4,179,27,hutb-005832
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40671,2.18592,Entire home/apt,124,3,65,2022-10-29,0.56,9,59,21,HUTB-004663
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40681,2.18553,Entire home/apt,138,3,28,2022-11-01,0.24,9,14,18,HUTB-004664
75003,130. Hércules Pequeño 41,396363,Alcambarcelona,Eixample,la Sagrada Família,41.40399,2.17802,Entire home/apt,115,2,30,2022-09-11,0.21,107,203,9,HUTB-001363
174382,🌟Central Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.17455,Entire home/apt,290,2,17,2022-11-07,0.20,19,237,10,HUTB000327
177502,Double Room with Terrace,848995,Pedro,Eixample,la Dreta de l'Eixample,41.39196,2.16856,Private room,23,7,1,2022-10-14,0.50,1,24,1,
412649,Cozy flat by the Magic Fountain,542867,Gabriela & Miguel,Sants-Montjuïc,la Font de la Guatlla,41.37279,2.14834,Entire home/apt,75,3,218,2022-10-31,1.69,2,273,27,HUTB-007048
417239,SUNNY APARTMENT WITH TERRACE IN GRACIA,2074943,Kris,Gràcia,la Vila de Gràcia,41.40413,2.15692,Entire home/apt,105,30,101,2022-10-10,0.87,1,262,3,
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,155,3,63,2022-11-08,0.47,9,60,21,HUTB-000083
424137,Spacious apartment by Las Ramblas,2108468,Pau,Ciutat Vella,el Barri Gòtic,41.37973,2.17458,Entire home/apt,127,1,111,2022-11-17,0.93,7,290,23,HUTB-000945
188267,"Balconies and views, city center!",366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39258,2.17692,Entire home/apt,292,3,99,2022-10-11,0.73,3,231,14,hutb-005119
80004,Parc Montjuic HUTB-004026 58,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,95,5,153,2022-11-26,1.09,1,198,22,HUTB-004026
190348,Apartment with large terrace,919480,Elisa,Les Corts,Pedralbes,41.38893,2.12443,Private room,46,7,1,2016-06-09,0.01,1,0,0,
425639,House with garden,2116153,Victor/Paula,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40864,2.14557,Entire home/apt,509,2,78,2022-11-02,0.76,1,275,16,HUTB-007016
431331,GGG Apartment,400416,Cens Sl,Gràcia,la Vila de Gràcia,41.40132,2.15373,Entire home/apt,49,31,12,2020-02-26,0.13,7,316,0,
83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38237,2.16146,Private room,40,3,111,2022-06-13,0.78,4,79,3,
89756,"bcn-rentals ramblas 1, just 10 min to Ramblas",488117,David Y Maria,Ciutat Vella,el Raval,41.37861,2.16737,Entire home/apt,265,6,22,2022-11-13,0.18,6,312,5,HUTB-013579
196021,"Large patio, 4 baths (3 en-suite), 19th c, central",953719,Julia,Eixample,l'Antiga Esquerra de l'Eixample,41.38842,2.16108,Entire home/apt,287,4,333,2022-12-03,2.44,1,257,54,HUTB-506707
196196,✨Large Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4066,2.17459,Entire home/apt,309,2,113,2022-12-05,0.83,19,233,18,HUTB-000325
89776,Modernist flat Downtown Casa Estapé | Barcelona,488151,Pols,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,120,3,336,2020-03-10,2.49,1,0,0,HUTB-002215
432482,PENTHOUSE PANORAMIC VIEW,898600,Andre,Eixample,la Dreta de l'Eixample,41.39144,2.16128,Entire home/apt,151,1,322,2022-11-25,2.53,2,235,65,HUTB-005602
95719,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38496,2.17982,Private room,70,31,259,2022-10-06,1.83,2,365,23,
437886,Centric Apartment in Barcelona 2,2004002,Xabier,Eixample,la Dreta de l'Eixample,41.39202,2.17246,Private room,34,31,275,2022-12-07,2.14,1,71,29,
197267,Cozy Studio in Gracia Neighborhood,632830,"M Angeles, Federico",Gràcia,la Vila de Gràcia,41.40661,2.15115,Entire home/apt,28,31,353,2022-10-06,2.64,4,40,6,HUTB01295238
97529,Furnished one bedroom apartment with bathroom,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.408790588378906,2.1660659313201904,Entire home/apt,4044,120,67,2022-10-31,0.50,1,224,2,
198958,STUNNING sea view + pool Barcelona!,971768,Akira,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40805,2.21487,Entire home/apt,290,2,84,2022-10-29,0.65,9,46,17,HUTB-000926
199794,Monthly rent - Double Room Private Bathroom,440825,Teresa,Eixample,l'Antiga Esquerra de l'Eixample,41.38359,2.15812,Private room,29,31,140,2022-12-07,1.23,1,341,30,Exempt
438102,Nice quiet room close to S. Familia,2176121,Rosa María,Eixample,el Fort Pienc,41.39829,2.1812,Private room,45,31,116,2019-11-30,0.90,2,193,0,""
439057,"Paseo de Gracia - Diagonal, 120 m2",2181314,Javier,Gràcia,la Vila de Gràcia,41.40002,2.1579,Entire home/apt,132,2,319,2022-11-29,2.50,1,230,48,HUTB012497
107437,Beautiful villa surrounded  of forest in Barcelona,556626,Cristina,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159,Entire home/apt,163,2,84,2022-11-22,0.60,2,335,15,
440427,Just Next to Sagrada Familia!!!,2041901,Dani,Eixample,la Sagrada Família,41.40332,2.17615,Entire home/apt,103,3,102,2022-11-15,0.83,9,256,5,HUTB-001132
443110,New apartment center BCN,2201772,Dimitry,Eixample,l'Antiga Esquerra de l'Eixample,41.38921,2.15195,Entire home/apt,220,1,49,2022-11-25,0.38,8,17,8,0168028-0
443222,2-bedroom Bright and Classic Sagrada Familia Flat,2202284,Johanna,Eixample,la Sagrada Família,41.40998,2.17553,Entire home/apt,146,4,146,2022-10-28,1.15,17,53,25,HUTB-002983
206122,Amazing Loft in BCN Center (B0132),1013855,Alejandro,Gràcia,la Vila de Gràcia,41.39877,2.15887,Entire home/apt,112,3,200,2022-11-29,1.49,1,56,29,HUTB-004315
206167,"Bright, comfy, central and with character",1014050,Minerva,Sants-Montjuïc,el Poble Sec,41.3724,2.1648,Entire home/apt,150,3,120,2022-10-12,0.89,1,65,23,HUTB-009804
110041,002. Alió 2 Apartment,396363,Alcambarcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,106,2,35,2022-08-14,0.28,107,291,4,HUTB-003671
112538,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,309,2,106,2022-12-05,0.76,19,331,17,HUTB-000333
117010,✨Spacious Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40647,2.17457,Entire home/apt,285,2,43,2022-09-17,0.31,19,326,8,HUTB000331
209673,Sweet Apartment in Gràcia district!,1033366,Elena,Gràcia,la Vila de Gràcia,41.398,2.1553,Entire home/apt,82,2,310,2022-12-03,2.56,1,291,46,HUTB-010932
214970,Single Cozy Room in central flat Barcelona,1110014,Janeth,Sants-Montjuïc,el Poble Sec,41.37042,2.16411,Private room,22,31,155,2022-10-31,1.21,1,336,11,
443909,"BARCELONA GOTICO ,great location, PRIVATE OFFICE",2204578,Francesca,Ciutat Vella,el Barri Gòtic,41.37733,2.17651,Private room,34,30,335,2022-11-06,2.68,1,123,8,
449854,Center location. Magic terrace. 360º views,1267680,Victor,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38734,2.18018,Entire home/apt,122,4,187,2022-11-20,1.46,5,137,41,HUTB-002370
118228,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,358,2,42,2022-11-07,0.31,19,311,23,HUTB-000328
537176,Nice renewed apartament with WiFi (HUTB - 004893),2638282,Fernando,Eixample,Sant Antoni,41.38075,2.15804,Entire home/apt,100,3,442,2022-12-07,3.51,1,195,59,HUTB-004893
451758,"Bright, elegant loft in center town",1267680,Victor,Ciutat Vella,el Raval,41.38139,2.16692,Entire home/apt,119,4,162,2022-12-04,1.27,5,161,32,HUTB-003091
456333,DOUBLE ROOM with WIFI,2268672,Bruna,Eixample,el Fort Pienc,41.39937,2.17599,Private room,28,1,43,2017-11-01,0.34,1,0,0,
223096,Duplex double room with private bathroom,874133,Barbara,Sants-Montjuïc,Sants,41.37364,2.13906,Entire home/apt,27,32,48,2022-08-18,0.36,1,11,5,Exempt
543342,Gran Vía Apartment Catalunya square,177617,Joaquin,Eixample,l'Antiga Esquerra de l'Eixample,41.38324,2.15969,Entire home/apt,81,2,312,2022-11-29,2.45,6,275,56,HUTB-005353
234375,Attic Views Sagrada Familia,1227290,Francesca,Eixample,el Fort Pienc,41.39970016479492,2.1748878955841064,Entire home/apt,101,7,69,2022-11-27,0.88,1,163,14,HUTB-003754
457195,Sweet Inn | Stylish 3BR Apt. in the city centre,1405013,Midtown,Eixample,la Dreta de l'Eixample,41.39195,2.1714,Entire home/apt,156,2,52,2022-11-16,0.71,12,179,16,HUTB-004073
548052,"sfp2 2BEDR ""ACOMODIS"" APARTMENT SAGRADA FAMILIA...",1447144,Acomodis Apartments,Eixample,la Sagrada Família,41.40263,2.17072,Entire home/apt,90,1,4,2019-09-16,0.07,131,360,0,
462062,Cerca de Plaza España.,16569867,Lola,Eixample,la Nova Esquerra de l'Eixample,41.37856,2.15194,Private room,65,3,137,2022-10-17,1.35,2,0,19,
469157,"Big, Central, 2 en-suites (50% off)",340570,Atún,Ciutat Vella,el Barri Gòtic,41.38046,2.17822,Entire home/apt,130,31,29,2022-11-05,0.23,2,303,6,
238703,☆Comfy central Flat Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,309,2,82,2022-11-08,0.80,19,311,10,HUTB000330
