listing_id,listing_url,host_id,description,host_name,DISTRICTE,latitude,longitude,minimum_nights,last_review,calculated_host_listings_count,availability_365,NUMERO_REGISTRE_GENERALITAT,Tipo,TipoDescripcion,CODI_DISTRICTE,CODI_BARRI
2748,https://www.airbnb.com/rooms/21721001,158023606,"Apartment in Barcelona ideal for a relaxing holiday away from the noise of the city center with all the necessary amenities and easy access to public transport. It’s lovely terrace will become the ideal place to relax after a day of sightseeing.<br /> <br /> Elegant details in its decoration and modern amenities included will welcome you to a great stay in the city. It offers one comfortable double bedroom with balcony, a living room & dining area, an open plan kitchen, & one complete bathroom with shower. Terrace with table and chairs.<br /> Additional Information:Note:There are -+20 stairs before reaching the elevatorFind useful information about ADN Apartments area, discover great places to visit during your stay, where to eat and where to go for a drink!  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> ",Habitat Apartments,SANTS-MONTJUÏC,41.37612,2.14484,1,2022-11-15,137,173,HUTB-010254,2,Con Licenia,3,14.5
2749,https://www.airbnb.com/rooms/21721013,158023606,"Jazz BCN Apartments is a new concept of accommodation  in Barcelona inspired by the Jazz genre. A place designed for people  looking for comfort, style and all amenities included. <br /> <br />The Jazz  BCN Apartments building is strategically located in a quiet residential  area of Eixample, just 5 minutes from the Sagrada Familia. Each apartment combines stylish and modern furnishing  details. <br /> <br />Cool Jazz 11 apartment takes its  name from the genre Cool Jazz; soft, thoughtful and quiet musical style.  Following this concept, the apartment has been designed to provide an  atmosphere of tranquility. As well, it features two pleasant bedrooms, a  kitchen open to dining room and a living room with plenty of natural  light. It will be the ideal place to enjoy a dream vacation with all  services included. <br /> <br />* Recommended for families. <br />* The Terrace seen in the images is shared, is located on the roof of the building and its opening hours are subject to change. <",Habitat Apartments,SANT MARTÍ,41.41291,2.17835,1,2022-08-23,137,134,HUTB-011214,2,Con Licenia,10,68.5
2750,https://www.airbnb.com/rooms/21721023,158023606,"Apartment in Barcelona ideal for a relaxing holiday away from the noise of the city center with all the necessary amenities and easy access to public transport. Its lovely terrace will become the ideal place to relax after a day of sightseeing.<br /> <br /> Elegant details in its decoration and modern amenities included will welcome you to a great stay in the city. It has two double bedrooms, one with double bed and the other with two single beds.  <br /> <br /> In one open space there is: living room with double sofa bed, dining area & a fully equipped open kitchen. Terrace with table and chairs.<br /> <br /> Additional Information:<br />-High Speed WIFI Network System<br /><br />Note:There are -+20 stairs before reaching the elevator. Find useful information about ADN Apartments area, discover great places to visit during your stay, where to eat and where to go for a drink!  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols con",Habitat Apartments,SANTS-MONTJUÏC,41.37419,2.14599,1,2022-11-17,137,196,HUTB-010250,2,Con Licenia,3,14.5
2751,https://www.airbnb.com/rooms/21721062,158023606,"The apartment in Barcelona is situated in a lovely 19th-century century building located in the heart of the Barri Gotic and very close to the famous Las Ramblas. It has three comfortable bedrooms, two double bedrooms, one of them is a cosy single bedroom and a large living room with a cosy sofabed. This apartment is ideal for families and large group of friends as it is located in the same building as Art 1 and Art 2. Additional Information:<br />-Parties in the apartment are strictly not allowed.<br />-It is very important to respect the noise level (people, music) during the whole stay.  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> 1) The cleaning to be carried out in the apartments with appropriate products, replacement and cleaning of textiles.<br /> 2) The security and prevention measures of the st",Habitat Apartments,CIUTAT VELLA,41.37853,2.17534,1,2022-11-25,137,179,HUTB-001507,2,Con Licenia,1,2.5
2752,https://www.airbnb.com/rooms/21721070,158023606,"This lovely and modern attic duplex is located near Arc De Triomf, as well as a few minutes walk to the famous Paseo De Gracia. The apartment offers three large, tastefully designed bedrooms, a beautiful sunny terrace, 2 bathrooms and a large living area. The apartment has all the necessary amenities to enjoy your stay in Barcelona, as well as a fully equipped kitchen.<br /><br />Additional Information:The terrace has great views of the Sagrada Familia and the Agbar tower (which is spectacularly lit at night). It features one table and chairs. There are blinds on the sky light windows. Important announcement:- Parties are strictly prohibited in the apartment.<br />- It is very important to respect the noise level (people, music) during the entire stay.<br />- The perfect option for families or groups of friends (Age of preference: over 24 years).  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Min",Habitat Apartments,EIXAMPLE,41.39519,2.17599,1,2022-11-26,137,167,HUTB-001170,2,Con Licenia,2,7.5
2753,https://www.airbnb.com/rooms/21721103,158023606,"This wonderful apartment in Barcelona offers four double bedrooms, all with en-suite bathroom and balcony overlooking the street. <br /><br />The common area is composed of a comfortable lounge area, a dining room for 6 people, a fully equipped kitchen and a laundry area.<br /><br />You can also find a nice TV room with ensuite bathroom.<br /><br />This apartment is highly recommended for large families or a group of friends who are looking for the perfect holiday apartment. It is located in a central and quiet neighbourhood surrounded by amazing cafes and restaurants.<br />Additional Information:-Please note that there are stairs before reaching the elevator.  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> 1) The cleaning to be carried out in the apartments with appropriate products, replacement and clean",Habitat Apartments,EIXAMPLE,41.37632,2.16404,1,2022-11-26,137,169,HUTB-007867,2,Con Licenia,2,7.5
2755,https://www.airbnb.com/rooms/21721122,158023606,"The Alibei 1 apartment, with modern decoration is located in the same building as Alibei 2 and Alibei 3 apartments. <br /><br />This apartment offers 3 bedrooms (one with small balcony looking out to the street), two bathrooms, a well-equipped kitchen & a spacious living room with views of the street. It is located a stones throw from the famous Arc De Triomf Monument and also a 5 minute walk from the beautiful Parc de La Ciutadella.<br /><br />It is a quiet and elegant apartment, perfect for a stay with your family.  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> 1) The cleaning to be carried out in the apartments with appropriate products, replacement and cleaning of textiles.<br /> 2) The security and prevention measures of the staff of Habitat Apartments and of our clients.<br /> 3) The necessary infor",Habitat Apartments,EIXAMPLE,41.39168,2.17797,1,2022-11-06,137,122,HUTB-003667,2,Con Licenia,2,7.5
2757,https://www.airbnb.com/rooms/21721133,158023606,"Jazz BCN Apartments is a new concept of accommodation in Barcelona inspired by the Jazz genre. A place designed for people looking for comfort, style and all amenities included. <br /> <br />Jazz BCN Apartments buildings are strategically located in a quiet residential area of Eixample, just 5 minutes from the Sagrada Familia. Recently renovated, each apartment combines stylish and modern furnishing details. Hot Jazz 21 apartment takes its name from the genre Hot Jazz; polished melodies and wind instruments. Following this concept, the apartment has been designed to provide an atmosphere of tranquility. As well, it features two pleasant bedrooms, a fully equipped kitchen and a living room with plenty of natural light and nice terrace. It will be the ideal place to enjoy a dream vacation thanks to it nice terrace. <br /> <br />* Recommended for families. <br />* The Terrace that can be seen in the images, is shared, is located on the roof of the building and its opening hours are subjec",Habitat Apartments,SANT MARTÍ,41.41097,2.17811,1,2022-11-24,137,160,HUTB-011337,2,Con Licenia,10,68.5
2758,https://www.airbnb.com/rooms/21721996,158023606,"Jazz BCN Apartments is a new concept of accommodation in Barcelona inspired by the Jazz genre. A place designed for people looking for comfort, style and all amenities included. <br /> <br />The Jazz BCN Apartments building is strategically located in a quiet residential area of Eixample, just 5 minutes from the Sagrada Familia. Recently renovated, each apartment combines stylish and modern furnishing details. <br /> <br />Cool Jazz 53 apartment takes its name from the genre Cool Jazz; soft, thoughtful and quiet musical style. Following this concept, the apartment has been designed to provide an atmosphere of tranquility. As well, it features two pleasant bedrooms, a kitchen open to dining room and a living room with plenty of natural light and nice balcony. It will be the ideal place to enjoy a dream vacation with all services included. <br /> <br />* Recommended for families. <br />* The Terrace that can be seen in the images, is shared, is located on the roof of the building and its",Habitat Apartments,SANT MARTÍ,41.41104,2.17811,1,2022-11-24,137,184,HUTB-011229,2,Con Licenia,10,68.5
2759,https://www.airbnb.com/rooms/21721152,158023606,"Jazz BCN Apartments is a new concept of accommodation in Barcelona inspired by the Jazz genre. A place designed for people looking for comfort, style and all amenities included. <br /> <br />Jazz BCN Apartments buildings are strategically located in a quiet residential area of Eixample, just 5 minutes from the Sagrada Familia. Recently renovated, each apartment combines stylish and modern furnishing details. Hot Jazz 31 apartment takes its name from the genre Hot Jazz; polished melodies and wind instruments. Following this concept, the apartment has been designed to provide an atmosphere of tranquility. As well, it features two pleasant bedrooms, a fully equipped kitchen and a living room with plenty of natural light and nice terrace. It will be the ideal place to enjoy a dream vacation thanks to it nice terrace. <br /> <br />* Recommended for families. <br />* The Terrace that can be seen in the images, is shared, is located on the roof of the building and its opening hours are subjec",Habitat Apartments,SANT MARTÍ,41.41209,2.17581,1,2022-10-29,137,183,HUTB-011340,2,Con Licenia,10,68.5
