listing_id,listing_url,host_id,description,host_name,DISTRICTE,latitude,longitude,minimum_nights,last_review,calculated_host_listings_count,availability_365,NUMERO_REGISTRE_GENERALITAT,Tipo,TipoDescripcion,CODI_DISTRICTE,CODI_BARRI
7158,https://www.airbnb.com/rooms/581637468287638346,367041953,"Disfrutá de la sencillez de este alojamiento tranquilo yCéntrica y cómoda habitación con cama doble y balcón.<br />- Situado a 5 minutos de Catalunya y Las Ramblas.<br />- La puerta del dormitorio tiene cerradura, armario, ropa de cama y toallas.<br />- Estación de metro más cercana ""Passeig de Gracia”.<br /><br /><b>Other things to note</b><br />Las sábanas y toallas, las encontrará en su habitación.<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />Servicios:<br />-Servicio de lavandería 10 €/por lavado.<br />-Aire acondicionado 10 €/día.<br />-Servicio de guarda maletas, solo en check out, 5 € hasta las 20:00h, después 5€ más, total 10€ , bajo petición.<br />-Cuna para bebe, 5€/día, bajo disponibilidad.<br />-Servicio de limpieza durante la estancia, 10 €/día.<br /><br /><b>License number</b><br />Exempt",Maria,EIXAMPLE,41.39404,2.16539,1,2022-12-06,20,336,Exempt,1,Exentos ilegales,2,7.5
7360,https://www.airbnb.com/rooms/615705584015659692,367041953,"Disfruta de céntrica y cómoda habitación con cama doble y balcón.<br />- Situado a 5 minutos de Catalunya y Las Ramblas.<br />- La puerta del dormitorio tiene cerradura, armario, ropa de cama y toallas.<br />- Estación de metro más cercana  “Passeig de Gracia”.<br /><br /><b>Other things to note</b><br />Las sábanas y toallas, las encontrará en su habitación.<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />Servicios:<br />-Servicio de lavandería 10 €/por lavado.<br />-Aire acondicionado 10 €/día.<br />-Servicio de guarda maletas, solo en check out, 5 € hasta las 20:00h, después 5€ más, total 10€ , bajo petición.<br />-Cuna para bebe, 5€/día, bajo disponibilidad.<br />-Servicio de limpieza durante la estancia, 10 €/día.<br /><br /><b>License number</b><br />Exempt",Maria,EIXAMPLE,41.39539,2.16765,1,2022-06-26,20,346,Exempt,1,Exentos ilegales,2,7.5
7362,https://www.airbnb.com/rooms/615716756301189673,367041953,"Disfruta de céntrica y cómoda habitación con 2 camas.<br />- Situado a 5 minutos de Catalunya y Las Ramblas.<br />- La puerta del dormitorio tiene cerradura, armario, ropa de cama y toallas.<br />- Estación de metro más cercana  “Passeig de Gracia”.<br /><br /><b>Other things to note</b><br />Las sábanas y toallas, las encontrará en su habitación.<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />Servicios:<br />-Servicio de lavandería 10 €/por lavado.<br />-Aire acondicionado 10 €/día.<br />-Servicio de guarda maletas, solo en check out, 5 € hasta las 20:00h, después 5€ más, total 10€ , bajo petición.<br />-Cuna para bebe, 5€/día, bajo disponibilidad.<br />-Servicio de limpieza durante la estancia, 10 €/día.<br /><br /><b>License number</b><br />Exempt",Maria,EIXAMPLE,41.3935,2.16732,1,2022-10-26,20,340,Exempt,1,Exentos ilegales,2,7.5
7401,https://www.airbnb.com/rooms/617269759441347617,367041953,"Disfrutá de la sencillez de esta habitación tranquila y cómoda con cama doble y soca cama.<br />- Situado a 5 minutos de Catalunya y Las Ramblas.<br />- La puerta del dormitorio tiene cerradura, armario, ropa de cama y toallas.<br />- Estación de metro más cercana ""Passeig de Gracia”.<br /><br /><b>Guest access</b><br />Las sábanas y toallas, las encontrará en su habitación.<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />Servicios:<br />-Servicio de lavandería 10 €/por lavado.<br />-Aire acondicionado 10 €/día.<br />-Servicio de guarda maletas, solo en check out, 5 € hasta las 20:00h, después 5€ más, total 10€ , bajo petición.<br />-Cuna para bebe, 5€/día, bajo disponibilidad.<br />-Servicio de limpieza durante la estancia, 10 €/día.<br /><br /><b>License number</b><br />Exempt",Maria,EIXAMPLE,41.39392,2.16585,1,2022-11-19,20,352,Exempt,1,Exentos ilegales,2,7.5
8733,https://www.airbnb.com/rooms/740363695968490088,367041953,"Centrica y comoda habitacion con cama doble.<br />- Situado a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />Muy cerca se encuentran el Teatro Tivoli y el Palacio de la Música Catalana.<br />La Sagrada Familia se encuentra a 20 minutos a pie.<br />- La puerta del dormitorio tiene cerradura, WI-FI, ropa de cama y toallas.<br />- La estación de autobuses Estacio del Nord se puede llegar a pie en 12 minutos. La estación de metro de Tetuán está a solo 100 metros.<br /><br /><b>The space</b><br />Habitación cómoda con una cama doble.<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />- La puerta del dormitorio tiene una cerradura con llave, solo tendrá acceso usted.<br />- WI-FI gratuito.<br />- Muy bien ubicado, a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />- Las atracciones cercanas incluyen el Teatro Tivoli y el Palau de la Música Catalana.<br />- La Sagrada Famili",Maria,EIXAMPLE,41.39338,2.17395,1,2022-11-28,20,346,Exempt,1,Exentos ilegales,2,7.5
8746,https://www.airbnb.com/rooms/740999249803710523,367041953,"Una acogedora habitación triple con una cama doble, un sofá y un balcón<br />- Situado a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />Muy cerca se encuentran el Teatro Tivoli y el Palacio de la Música Catalana.<br />La Sagrada Familia se encuentra a 20 minutos a pie.<br />- La puerta del dormitorio tiene cerradura, WI-FI, ropa de cama y toallas.<br />- La estación de autobuses Estacio del Nord se puede llegar a pie en 12 minutos. La estación de metro de Tetuán está a solo 100 metros<br /><br /><b>The space</b><br />Una acogedora habitación triple con una cama doble, un sofá y un balcón.<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />- La puerta del dormitorio tiene una cerradura con llave, solo tendrá acceso usted.<br />- WI-FI gratuito.<br />- Muy bien ubicado, a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />- Las atracciones cercanas incluyen el Teatro Tivo",Maria,EIXAMPLE,41.3949,2.17588,1,2022-11-05,20,341,Exempt,1,Exentos ilegales,2,7.5
8758,https://www.airbnb.com/rooms/742404212104067979,367041953,"Centrica y comoda habitacion con cama doble.<br />- Situado a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />Muy cerca se encuentran el Teatro Tivoli y el Palacio de la Música Catalana.<br />La Sagrada Familia se encuentra a 20 minutos a pie.<br />- La puerta del dormitorio tiene cerradura, WI-FI, ropa de cama y toallas.<br />- La estación de autobuses Estacio del Nord se puede llegar a pie en 12 minutos. La estación de metro de Tetuán está a solo 100 metros.<br /><br /><b>The space</b><br />Habitación cómoda con una cama doble.<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />- La puerta del dormitorio tiene una cerradura con llave, solo tendrá acceso usted.<br />- WI-FI gratuito.<br />- Muy bien ubicado, a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />- Las atracciones cercanas incluyen el Teatro Tivoli y el Palau de la Música Catalana.<br />- La Sagrada Famili",Maria,EIXAMPLE,41.39328,2.17597,1,2022-12-09,20,345,Exempt,1,Exentos ilegales,2,7.5
8759,https://www.airbnb.com/rooms/742412755650540117,367041953,"Una hermosa habitación de cuatro camas con una cama doble, un sofá<br />- Situado a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />Muy cerca se encuentran el Teatro Tivoli y el Palacio de la Música Catalana.<br />La Sagrada Familia se encuentra a 20 minutos a pie.<br />- La puerta del dormitorio tiene cerradura, WI-FI, ropa de cama y toallas.<br />- La estación de autobuses Estacio del Nord se puede llegar a pie en 12 minutos. La estación de metro de Tetuán está a solo 100 metros<br /><br /><b>The space</b><br />Una hermosa habitación de cuatro camas con una cama doble, un sofá y una hermosa vista de la ciudad.<br /><br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />- La puerta del dormitorio tiene una cerradura con llave, solo tendrá acceso usted.<br />- WI-FI gratuito.<br />- Muy bien ubicado, a 10 minutos andando del famoso Paseo de Gracia, Las Ramblas y Plaça Catalunya.<br />- Las atracciones cer",Maria,EIXAMPLE,41.39467,2.17585,1,2022-11-20,20,352,Exempt,1,Exentos ilegales,2,7.5
8763,https://www.airbnb.com/rooms/742434623504955115,367041953,"Centrica y comoda habitacion con grand cama doble.<br />- ubicado en el distrito de moda del Eixample de Barcelona, ​​​​a 500 metros de la Gran Vía y a 10 minutos a pie de la Plaza España.<br />- La puerta del dormitorio tiene cerradura, WI-FI, ropa de cama y toallas.<br />- Los apartamentos se encuentran a 5 minutos a pie de las estaciones de metro de Entença y Tarragona.<br />- La estación de tren de Sants está a 600 metros.<br /><br /><b>The space</b><br />Bonita habitación con cama doble grande.<br />La cocina y los 1.5 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />- La puerta del dormitorio tiene una cerradura con llave, solo tendrá acceso usted.<br />- WI-FI gratuito.<br />- Muy bien ubicado, situado a 500 metros de Gran Vía y a 10 minutos andando de Plaza España<br />- Varios bares, restaurantes y tiendas se encuentran a 5 minutos a pie. Como alternativa, el centro comercial Las Arenas se encuentra a 10 minutos a pie.<br />- Los apartamentos se en",Maria,EIXAMPLE,41.38066,2.14871,1,2022-11-16,20,353,Exempt,1,Exentos ilegales,2,7.5
8778,https://www.airbnb.com/rooms/747479942486204272,367041953,"Disfruta de la sencillez de este alojamiento tranquilo y céntrico.<br />Cómoda habitación, totalmente exterior, con dos camas individuales. <br /><br />- Situado entre la Plaza de España y Plaza Cataluña y Las Ramblas.<br />- La puerta del dormitorio tiene cerradura, WI-FI, armario, ropa de cama y toallas.<br />- Estación de metro más cercana “Rocafort”.<br /><br /><b>The space</b><br />Edificio modernista construido a finales del siglo 19 con valor histórico nominal.<br /><br />Cómoda habitación con 2 camas individuales y colchones nuevos viscoelástico<br />La cocina y los 2 baños son compartidos con otros huéspedes, se limpian diariamente.<br /><br />- La puerta del dormitorio tiene una cerradura con llave, solo tendrá acceso usted.<br />- WI-FI gratuito.. <br />- Situado entre Plaza España, Plaza Catalunya y Las Ramblas.<br />- Cerca del centro comercial Las Arenas, tiendas, estación de metro, restaurantes y supermercados. Tienes todo lo que necesitas para tus vacaciones en Barcelon",Maria,EIXAMPLE,41.38191,2.14872,1,2022-11-26,20,352,Exempt,1,Exentos ilegales,2,7.5
