LONGITUD_X,LATITUD_Y,DISTRICTE,TIPUS_CARRER,CARRER
2.171125169,41.37903472,CIUTAT VELLA,Carrer,HOSPITAL
2.173113256,41.40659454,L'EIXAMPLE,Avinguda,GAUDI
2.174958331,41.39378781,L'EIXAMPLE,Plaça,TETUAN
2.170787869,41.37759776,CIUTAT VELLA,Carrer,JUNTA DE COMERÇ
2.171954431,41.39083613,L'EIXAMPLE,Gran Via,CORTS CATALANES
2.153479697,41.39170841,L'EIXAMPLE,Carrer,ENRIC GRANADOS
2.159359248,41.37360076,L'EIXAMPLE,Carrer,CALABRIA
2.159359248,41.37360076,L'EIXAMPLE,Carrer,CALABRIA
2.142388471,41.38924578,LES CORTS,Avinguda,JOSEP TARRADELLAS
2.162267759,41.37481218,L'EIXAMPLE,Carrer,COMTE BORRELL
2.168168546,41.38636943,L'EIXAMPLE,Passeig,GRACIA
2.156327261,41.40554654,GRACIA,Carrer,MASSENS
2.156327261,41.40554654,GRACIA,Carrer,MASSENS
2.156327261,41.40554654,GRACIA,Carrer,MASSENS
2.156327261,41.40554654,GRACIA,Carrer,MASSENS
2.152615513,41.37897176,L'EIXAMPLE,Carrer,CALABRIA
2.156327261,41.40554654,GRACIA,Carrer,MASSENS
2.161808251,41.38199327,L'EIXAMPLE,Carrer,MUNTANER
2.161808251,41.38199327,L'EIXAMPLE,Carrer,MUNTANER
2.159770217,41.36987372,SANTS-MONTJUÏC,Carrer,CREU DELS MOLERS
2.143383342,41.38361524,L'EIXAMPLE,Carrer,CORSEGA
2.202386726,41.40181605,SANT MARTI,Carrer,PUJADES
2.162746522,41.40033451,GRACIA,Carrer,BAILEN
2.165182267,41.40466952,GRACIA,Travessera,GRACIA
2.183109678,41.40544192,SANT MARTI,Carrer,INDEPENDENCIA
2.16946058,41.37090087,SANTS-MONTJUÏC,Carrer,PIQUER
2.156956749,41.38087157,L'EIXAMPLE,Carrer,COMTE D'URGELL
2.160337838,41.38041185,L'EIXAMPLE,Carrer,SEPULVEDA
2.161777767,41.37980468,L'EIXAMPLE,Carrer,FLORIDABLANCA
2.161808251,41.38199327,L'EIXAMPLE,Carrer,MUNTANER
2.161891031,41.40444973,GRACIA,Carrer,PI I MARGALL
2.171657483,41.39979689,L'EIXAMPLE,Carrer,MALLORCA
2.161808251,41.38199327,L'EIXAMPLE,Carrer,MUNTANER
2.15924176,41.39168833,L'EIXAMPLE,Rambla,CATALUNYA
2.15924176,41.39168833,L'EIXAMPLE,Rambla,CATALUNYA
2.161808251,41.38199327,L'EIXAMPLE,Carrer,MUNTANER
2.203840859,41.40338068,SANT MARTI,Carrer,ESPRONCEDA
2.203840859,41.40338068,SANT MARTI,Carrer,ESPRONCEDA
2.155885373,41.37366488,L'EIXAMPLE,Carrer,TAMARIT
2.146749185,41.38340486,L'EIXAMPLE,Carrer,CALABRIA
2.153683016,41.37408937,L'EIXAMPLE,Avinguda,MISTRAL
2.153683016,41.37408937,L'EIXAMPLE,Avinguda,MISTRAL
2.144919883,41.37345444,SANTS-MONTJUÏC,Carrer,CREU COBERTA
2.201146364,41.40343511,SANT MARTI,Carrer,LOPE DE VEGA
2.133959873,41.37002809,SANTS-MONTJUÏC,Carrer,SAGUNT
2.151135154,41.38607052,L'EIXAMPLE,Carrer,PROVENÇA
2.151135154,41.38607052,L'EIXAMPLE,Carrer,PROVENÇA
2.153683016,41.37408937,L'EIXAMPLE,Avinguda,MISTRAL
2.153683016,41.37408937,L'EIXAMPLE,Avinguda,MISTRAL
2.153683016,41.37408937,L'EIXAMPLE,Avinguda,MISTRAL
2.153683016,41.37408937,L'EIXAMPLE,Avinguda,MISTRAL
2.144919883,41.37345444,SANTS-MONTJUÏC,Carrer,CREU COBERTA
2.144919883,41.37345444,SANTS-MONTJUÏC,Carrer,CREU COBERTA
2.153683016,41.37408937,L'EIXAMPLE,Avinguda,MISTRAL
2.167509601,41.40612516,HORTA-GUINARDÓ,Travessera,GRACIA
2.144919883,41.37345444,SANTS-MONTJUÏC,Carrer,CREU COBERTA
2.171294759,41.40238729,L'EIXAMPLE,Carrer,SARDENYA
2.144919883,41.37345444,SANTS-MONTJUÏC,Carrer,CREU COBERTA
2.144919883,41.37345444,SANTS-MONTJUÏC,Carrer,CREU COBERTA
2.144919883,41.37345444,SANTS-MONTJUÏC,Carrer,CREU COBERTA
2.143235219,41.38236886,L'EIXAMPLE,Carrer,ENTENÇA
2.143235219,41.38236886,L'EIXAMPLE,Carrer,ENTENÇA
