DateTime,HA MILLORAT,ESTÀ IGUAL,HA EMPITJORAT,,,
1992-06-01 00:00:00,88,6666666666667,5,5,91666666666667,
1993-03-15 00:00:00,80,5833333333333,8,8333333333333,10,4166666666667
1994-03-15 00:00:00,73,6666666666667,11,8333333333333,14,833333333333
1995-11-15 00:00:00,85,4166666666667,8,66666666666667,5,41666666666667
1996-03-15 00:00:00,88,372597249152,7,31617112217576,4,1564739061277
1997-12-15 00:00:00,86,154005474009,9,14057738735902,4,27343824662496
1998-04-15 00:00:00,86,4819458740477,8,24660753201136,4,410625516028
1999-03-15 00:00:00,85,875314708541,11,3419264236106,3,31607939350357
2000-04-15 00:00:00,77,6467981196605,15,573910094017,6,48161589029421
2001-04-30 00:00:00,62,8185999629955,23,2843042468747,12,9234831182067
2002-04-15 00:00:00,54,50319598663,28,1014139026913,16,4595419185487
2003-03-15 00:00:00,62,1439148818173,23,3381915917747,13,4890283707345
2004-06-07 00:00:00,56,5606852093894,25,864057930142,16,142751359639
2005-06-03 00:00:00,41,4616010155951,31,8340852698102,25,3764913169325
2006-06-01 00:00:00,44,7113280189742,27,4941844147502,26,7389770510068
2007-11-10 00:00:00,36,274295543777,30,6715757510967,32,1441557395418
2008-06-18 00:00:00,35,7337093297716,31,9660392348405,31,2485668386736
2009-05-21 00:00:00,38,486117520238,28,4394266718089,31,7700914607645
2010-05-25 00:00:00,38,843998095793,23,9394697312288,36,7573630347326
2011-10-05 00:00:00,27,1118125381915,26,5931786971202,44,1845810996096
2012-05-31 00:00:00,25,6534492957372,27,1057559513726,45,2164309628516
2013-05-17 00:00:00,25,8311356758843,27,9693571397684,44,278339433644
2014-05-26 00:00:00,31,9807088324679,29,6172434365564,36,3987672539001
2015-10-27 00:00:00,32,8697546870498,36,913594391846,28,2904886607203
2016-05-11 00:00:00,34,6404862054388,34,7986433132194,28,3519504362732
2017-05-23 00:00:00,37,634093271154,30,4911351545027,30,1057272214048
2018-05-20 00:00:00,34,8277698092076,22,9639590974471,37,9421388118315
2019-02-27 00:00:00,32,4147404580377,19,4535347179382,44,9010248538304
2020-10-10 00:00:00,22,3562216402548,14,2940925258933,59,2402339583767
2021-05-05 00:00:00,28,5627922036189,13,984047702321,53,960514889884
2022-04-07 00:00:00,28,6542479180071,15,3927650795878,52,7038522806549
