DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
07/01/2023,40,Vallès Occidental,082606,Santa Perpètua de Mogoda,0.00,0.00,0.00,0.00
10/01/2023,13,Barcelonès,081944,Sant Adrià de Besòs,0.00,0.02,0.00,0.02
10/01/2023,02,Alt Empordà,172348,Biure,0.00,0.00,0.00,0.00
10/01/2023,13,Barcelonès,081944,Sant Adrià de Besòs,0.00,0.01,0.00,0.01
11/01/2023,09,Baix Ebre,430136,"Ametlla de Mar, l'",0.00,0.00,0.00,0.00
12/01/2023,40,Vallès Occidental,080543,Castellbisbal,0.00,0.00,0.00,0.00
13/01/2023,13,Barcelonès,081944,Sant Adrià de Besòs,0.00,0.02,0.00,0.02
15/01/2023,24,Osona,081995,Sant Bartomeu del Grau,0.00,0.00,0.00,0.00
16/01/2023,34,Selva,171805,Santa Coloma de Farners,0.00,0.00,0.00,0.00
16/01/2023,13,Barcelonès,081944,Sant Adrià de Besòs,0.00,0.02,0.00,0.02
18/01/2023,40,Vallès Occidental,082798,Terrassa,0.00,0.00,0.00,0.00
20/01/2023,40,Vallès Occidental,080517,Castellar del Vallès,0.00,0.30,0.00,0.30
21/01/2023,40,Vallès Occidental,081252,Montcada i Reixac,0.00,0.49,0.00,0.49
22/01/2023,03,Alt Penedès,080850,Font-rubí,0.00,0.04,0.00,0.04
22/01/2023,12,Baix Penedès,431634,"Vendrell, el",0.00,0.01,0.00,0.01
22/01/2023,22,Montsià,430141,Amposta,0.03,0.00,0.00,0.03
23/01/2023,04,Alt Urgell,259084,Fígols i Alinyà,0.00,0.00,0.00,0.00
23/01/2023,12,Baix Penedès,431634,"Vendrell, el",0.00,0.00,0.00,0.00
23/01/2023,40,Vallès Occidental,080517,Castellar del Vallès,0.00,0.00,0.00,0.00
24/01/2023,29,Priorat,430555,Falset,0.00,0.20,0.00,0.20
24/01/2023,08,Baix Camp,431671,Vilanova d'Escornalbou,0.04,0.00,0.00,0.04
25/01/2023,37,Terra Alta,430640,Gandesa,0.00,0.12,0.00,0.12
25/01/2023,40,Vallès Occidental,080517,Castellar del Vallès,0.00,0.03,0.00,0.03
27/01/2023,09,Baix Ebre,431042,"Perelló, el",0.00,0.20,0.00,0.20
27/01/2023,10,Baix Empordà,172116,Verges,0.24,0.00,0.00,0.24
28/01/2023,11,Baix Llobregat,080898,Gavà,0.02,0.08,0.00,0.10
30/01/2023,11,Baix Llobregat,080898,Gavà,0.00,0.00,0.00,0.00
30/01/2023,03,Alt Penedès,080919,Gelida,0.15,0.00,0.00,0.15
30/01/2023,41,Vallès Oriental,082763,Tagamanent,0.18,0.00,0.00,0.18
30/01/2023,41,Vallès Oriental,081982,Sant Antoni de Vilamajor,0.10,0.00,0.00,0.10
30/01/2023,30,Ribera d'Ebre,430846,Miravet,0.00,0.06,0.00,0.06
30/01/2023,40,Vallès Occidental,081878,Sabadell,0.00,0.05,0.00,0.05
31/01/2023,10,Baix Empordà,171997,Torroella de Montgrí,0.03,0.00,0.00,0.03
31/01/2023,24,Osona,081607,Perafita,0.25,0.00,0.00,0.25
01/02/2023,11,Baix Llobregat,080728,Corbera de Llobregat,0.00,0.00,0.00,0.00
01/02/2023,11,Baix Llobregat,081234,Molins de Rei,0.00,0.00,0.00,0.00
01/02/2023,40,Vallès Occidental,081878,Sabadell,0.00,0.03,0.00,0.03
02/02/2023,03,Alt Penedès,082515,Santa Margarida i els Monjos,0.00,0.03,0.00,0.03
03/02/2023,15,Cerdanya,170947,Llívia,0.00,0.50,0.00,0.50
03/02/2023,08,Baix Camp,430311,"Borges del Camp, les",0.00,3.00,0.00,3.00
03/02/2023,08,Baix Camp,430094,Alforja,0.00,0.75,0.00,0.75
03/02/2023,41,Vallès Oriental,080235,Bigues i Riells,0.02,0.00,0.00,0.02
04/02/2023,10,Baix Empordà,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",0.00,0.03,0.00,0.03
04/02/2023,09,Baix Ebre,431554,Tortosa,5.04,7.89,13.00,12.93
04/02/2023,28,Pla de l'Estany,170561,Cornellà del Terri,0.01,0.05,0.00,0.06
04/02/2023,02,Alt Empordà,171984,Torroella de Fluvià,0.00,0.02,0.00,0.02
04/02/2023,10,Baix Empordà,170681,Foixà,1.22,0.00,0.00,1.22
05/02/2023,04,Alt Urgell,259084,Fígols i Alinyà,0.00,0.20,0.00,0.20
05/02/2023,09,Baix Ebre,431554,Tortosa,0.00,0.18,0.00,0.18
05/02/2023,10,Baix Empordà,170340,Calonge i Sant Antoni,0.06,0.00,0.00,0.06
05/02/2023,24,Osona,089019,Rupit i Pruit,0.26,0.00,0.00,0.26
05/02/2023,34,Selva,171595,Sant Feliu de Buixalleu,0.87,0.00,0.00,0.87
05/02/2023,03,Alt Penedès,082270,Sant Martí Sarroca,0.00,0.40,0.00,0.40
05/02/2023,40,Vallès Occidental,082384,Sant Quirze del Vallès,0.09,0.00,0.00,0.09
05/02/2023,09,Baix Ebre,431554,Tortosa,0.01,0.00,0.00,0.01
05/02/2023,38,Urgell,252173,Tàrrega,0.00,1.72,0.00,1.72
06/02/2023,29,Priorat,430350,Cabacés,0.36,0.00,0.00,0.36
06/02/2023,40,Vallès Occidental,083008,Viladecavalls,0.07,0.00,0.00,0.07
06/02/2023,01,Alt Camp,430363,Cabra del Camp,0.00,0.08,0.00,0.08
07/02/2023,40,Vallès Occidental,081568,Palau-solità i Plegamans,0.00,0.00,0.00,0.00
11/02/2023,13,Barcelonès,080193,Barcelona,0.00,0.00,0.00,0.00
14/02/2023,03,Alt Penedès,082227,Sant Llorenç d'Hortons,0.00,0.59,0.00,0.59
16/02/2023,04,Alt Urgell,250772,Coll de Nargó,0.00,0.03,0.00,0.03
18/02/2023,41,Vallès Oriental,081810,"Roca del Vallès, la",0.18,0.03,0.00,0.21
18/02/2023,04,Alt Urgell,259062,"Valls d'Aguilar, les",0.01,0.00,0.00,0.01
18/02/2023,01,Alt Camp,430056,Alcover,0.04,0.00,0.00,0.04
18/02/2023,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0.00,0.86,0.00,0.86
18/02/2023,11,Baix Llobregat,080667,Castellví de Rosanes,0.24,0.00,0.00,0.24
18/02/2023,41,Vallès Oriental,082074,Sant Esteve de Palautordera,0.00,0.02,0.00,0.02
19/02/2023,15,Cerdanya,251752,Prats i Sansor,0.15,0.00,0.00,0.15
19/02/2023,12,Baix Penedès,431634,"Vendrell, el",0.02,0.00,0.00,0.02
19/02/2023,19,Garrotxa,172082,"Vall de Bianya, la",0.90,0.00,0.00,0.90
20/02/2023,34,Selva,171595,Sant Feliu de Buixalleu,0.00,0.00,0.00,0.00
20/02/2023,30,Ribera d'Ebre,431508,Tivissa,0.00,0.24,0.00,0.24
20/02/2023,36,Tarragonès,431482,Tarragona,0.00,0.00,0.00,0.00
20/02/2023,06,Anoia,082264,Sant Martí de Tous,0.00,0.35,0.00,0.35
21/02/2023,40,Vallès Occidental,082798,Terrassa,0.00,0.00,0.00,0.00
21/02/2023,42,Moianès,081385,Moià,0.02,0.00,0.00,0.02
21/02/2023,11,Baix Llobregat,080569,Castelldefels,0.00,0.00,0.00,0.00
25/02/2023,20,Gironès,170792,Girona,0.00,0.20,0.00,0.20
27/02/2023,06,Anoia,082508,Santa Margarida de Montbui,0.01,0.00,0.00,0.01
01/03/2023,09,Baix Ebre,431554,Tortosa,0.00,0.04,0.00,0.04
02/03/2023,09,Baix Ebre,439060,"Ampolla, l'",0.00,0.00,0.00,0.00
02/03/2023,20,Gironès,170890,Llagostera,0.00,0.05,0.00,0.05
03/03/2023,34,Selva,170335,Caldes de Malavella,0.13,0.00,0.00,0.13
03/03/2023,09,Baix Ebre,431554,Tortosa,0.00,0.39,0.00,0.39
